"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"709","Grand Forks, ND-MN","0024220",16.59,NA,27,27119,24220,107.6426265,6.48840424954792
"2991","Watertown-Fort Drum, NY","0048060",15.59,NA,36,36045,48060,101.5228426,6.51204891597178
"1020","Jackson, MI","0027100",16.86,NA,26,26075,27100,109.8901099,6.51780011269276
"238","Beaumont-Port Arthur, TX","0013140",16.88,NA,48,48361,13140,110.1321586,6.52441697867299
"239","Beaumont-Port Arthur, TX","0013140",16.88,NA,48,48245,13140,110.1321586,6.52441697867299
"240","Beaumont-Port Arthur, TX","0013140",16.88,NA,48,48351,13140,110.1321586,6.52441697867299
"241","Beaumont-Port Arthur, TX","0013140",16.88,NA,48,48199,13140,110.1321586,6.52441697867299
"225","Bangor, ME","0070750",15.83,NA,23,23019,12620,103.3057851,6.52594978521794
"236","Battle Creek, MI","0012980",16.73,NA,26,26025,12980,109.4091904,6.53970056186491
"1912","New Orleans-Metairie, LA","0035380",15.83,NA,22,22051,35380,103.950104,6.56665217940619
"1913","New Orleans-Metairie, LA","0035380",15.83,NA,22,22093,35380,103.950104,6.56665217940619
"1914","New Orleans-Metairie, LA","0035380",15.83,NA,22,22087,35380,103.950104,6.56665217940619
"1915","New Orleans-Metairie, LA","0035380",15.83,NA,22,22071,35380,103.950104,6.56665217940619
"1916","New Orleans-Metairie, LA","0035380",15.83,NA,22,22089,35380,103.950104,6.56665217940619
"1917","New Orleans-Metairie, LA","0035380",15.83,NA,22,22103,35380,103.950104,6.56665217940619
"1918","New Orleans-Metairie, LA","0035380",15.83,NA,22,22075,35380,103.950104,6.56665217940619
"1919","New Orleans-Metairie, LA","0035380",15.83,NA,22,22095,35380,103.950104,6.56665217940619
"1768","Naples-Immokalee-Marco Island, FL","0034940",15.36,NA,12,12021,34940,100.9081736,6.56954255208333
"1863","Nevada","3200000",16.2,NA,32,32017,NA,106.4962726,6.57384398765432
